Sentence-1,Sentence-2,Similarity
"2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (2), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.","for a financial product subject to article 6 of regulation (eu) 2020/852, the information required under that article.';",0.6931447006015417
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.';",1.0
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.",0.7168117414430621
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.';",1.0
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.",0.7168117414430621
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (a) and (b) of paragraph 1.';",0.6701665996645958
"3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (c) and (d) of paragraph 1.",0.6701665996645958
"when developing the draft regulatory technical standards referred to in the first subparagraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.6291382552530098
"when developing the draft regulatory technical standards referred to in the first subparagraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their objectives as referred to in paragraph 4a of this article and the differences between them as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 5 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.5522696506407514
the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission by 30 december 2020.,2. the esas shall submit the draft regulatory technical standards referred to in paragraph 1 to the commission by 30 december 2020.,0.8586557982260815
the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission by 30 december 2020.,the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission:,0.7924040597102251
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.';",0.7168117414430621
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.",1.0
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.';",0.7168117414430621
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.",0.8958999951937023
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (a) and (b) of paragraph 1.';",0.8448951934138225
"4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (c) and (d) of paragraph 1.",0.8448951934138225
"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",1.0000000000000004
"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their objectives as referred to in paragraph 4a of this article and the differences between them as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 5 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.9702415744444541
"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and objectives and the differences between them and, where necessary, shall develop draft amendments to the regulatory technical standards referred to in paragraph 4 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation. the esas shall update the regulatory technical standards in the light of regulatory and technological developments.",0.8532140678119235
the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission:,the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission:,1.0
the esas shall submit the draft regulatory technical standards referred to in the first subparagraph to the commission:,"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and objectives and the differences between them and, where necessary, shall develop draft amendments to the regulatory technical standards referred to in paragraph 4 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation. the esas shall update the regulatory technical standards in the light of regulatory and technological developments.",0.5169598053783434
"in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, by 1 june 2021; and","in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, by 1 june 2021; and",1.0000000000000002
"in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, by 1 june 2021; and","in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, by 1 june 2022.",0.8477624970048977
"in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, by 1 june 2021; and","in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, from 1 january 2022; and",0.7168117414430624
"in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, by 1 june 2021; and","in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, from 1 january 2023;",0.7168117414430624
"in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, by 1 june 2022.","in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, by 1 june 2022.",1.0000000000000002
"in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, by 1 june 2022.","in respect of the environmental objectives referred to in points (a) and (b) of article 9 of regulation (eu) 2020/852, from 1 january 2022; and",0.8477624970048976
"in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, by 1 june 2022.","in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, from 1 january 2023;",0.7168117414430624
"in respect of the environmental objectives referred to in points (c) to (f) of article 9 of regulation (eu) 2020/852, by 1 june 2022.",in respect of the environmental objectives referred to in points (a) and (b) of article 9 from 1 january 2022; and,0.568760612567123
"power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph of this paragraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.","3. power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in paragraph 1 of this article in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.';",0.9493184006363802
"power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph of this paragraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.","power is delegated to the commission to supplement this regulation by adopting the regulatory technical standards referred to in the first subparagraph of this paragraph in accordance with articles 10 to 14 of regulations (eu) no 1093/2010, (eu) no 1094/2010 and (eu) no 1095/2010.';",1.0000000000000004
4a. financial market participants shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 5 of regulation (eu) 2020/852.,"'2a. where financial market participants make available a financial product as referred to in article 6 of regulation (eu) 2020/852 of the european parliament and of the council (*1), they shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 6 of regulation (eu) 2020/852.",0.7955084133391431
4a. financial market participants shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 5 of regulation (eu) 2020/852.,'4a. financial market participants shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 5 of regulation (eu) 2020/852.';,1.0000000000000002
4a. financial market participants shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 5 of regulation (eu) 2020/852.,"for a financial product subject to article 5 of regulation (eu) 2020/852, the information required under that article;",0.605543274328538
4a. financial market participants shall include in the information to be disclosed pursuant to article 6(1) and (3) of this regulation the information required under article 5 of regulation (eu) 2020/852.,"for a financial product subject to article 6 of regulation (eu) 2020/852, the information required under that article.';",0.605543274328538
"5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.","'3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.';",1.0
"5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.",0.7168117414430621
"5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.';",1.0
"5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.","'6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.",0.7168117414430621
"5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (a) and (b) of paragraph 1.';",0.6701665996645958
"5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 to 4 of this article.","'5. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in points (c) and (d) of paragraph 1.",0.6701665996645958
"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their objectives as referred to in paragraphs 1, 2 and 3 and the differences between them as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their characteristics and the differences between them, as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 3 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.6324284302646411
"when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their objectives as referred to in paragraphs 1, 2 and 3 and the differences between them as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise.","when developing the draft regulatory technical standards referred to in the first subparagraph of this paragraph, the esas shall take into account the various types of financial products, their objectives as referred to in paragraph 4a of this article and the differences between them as well as the objective that disclosures are to be accurate, fair, clear, not misleading, simple and concise and, where necessary to achieve that objective, shall develop draft amendments to the regulatory technical standards referred to in paragraph 5 of this article. the draft regulatory technical standards shall take into account the respective dates of application set out in points (a) and (b) of article 27(2) of regulation (eu) 2020/852 in respect of the environmental objectives set out in article 9 of that regulation.",0.6359499387684855
"6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.","'3. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information to be disclosed pursuant to paragraphs 1 and 2 of this article.';",0.7168117414430621
"6. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 4a of this article.","'4. the esas shall, through the joint committee, develop draft regulatory technical standards to specify the details of the content and presentation of the information referred to in paragraph 2a of this article.",0.8958999951937023
